timestamp_utc,scenario,repeat,status,exit_code,output_file,attendees,read_requests,write_requests,read_concurrency,write_concurrency
2026-02-19T10:47:24Z,u200,1,FAIL,1,/Users/jaichang/Documents/GitHub/open-codelabs/backend/bench-results/paper-all-20260219-193826/rest/u200-r01-20260219-193839.json,200,12000,6000,450,220
2026-02-19T10:47:25Z,u200,2,FAIL,1,/Users/jaichang/Documents/GitHub/open-codelabs/backend/bench-results/paper-all-20260219-193826/rest/u200-r02-20260219-193839.json,200,12000,6000,450,220
2026-02-19T10:47:25Z,u200,3,FAIL,1,/Users/jaichang/Documents/GitHub/open-codelabs/backend/bench-results/paper-all-20260219-193826/rest/u200-r03-20260219-193839.json,200,12000,6000,450,220
2026-02-19T10:47:26Z,u200,4,FAIL,1,/Users/jaichang/Documents/GitHub/open-codelabs/backend/bench-results/paper-all-20260219-193826/rest/u200-r04-20260219-193839.json,200,12000,6000,450,220
2026-02-19T10:47:26Z,u200,5,FAIL,1,/Users/jaichang/Documents/GitHub/open-codelabs/backend/bench-results/paper-all-20260219-193826/rest/u200-r05-20260219-193839.json,200,12000,6000,450,220
2026-02-19T10:47:27Z,u200,6,FAIL,1,/Users/jaichang/Documents/GitHub/open-codelabs/backend/bench-results/paper-all-20260219-193826/rest/u200-r06-20260219-193839.json,200,12000,6000,450,220
2026-02-19T10:47:27Z,u200,7,FAIL,1,/Users/jaichang/Documents/GitHub/open-codelabs/backend/bench-results/paper-all-20260219-193826/rest/u200-r07-20260219-193839.json,200,12000,6000,450,220
2026-02-19T10:47:28Z,u200,8,FAIL,1,/Users/jaichang/Documents/GitHub/open-codelabs/backend/bench-results/paper-all-20260219-193826/rest/u200-r08-20260219-193839.json,200,12000,6000,450,220
2026-02-19T10:47:28Z,u200,9,FAIL,1,/Users/jaichang/Documents/GitHub/open-codelabs/backend/bench-results/paper-all-20260219-193826/rest/u200-r09-20260219-193839.json,200,12000,6000,450,220
2026-02-19T10:47:29Z,u200,10,FAIL,1,/Users/jaichang/Documents/GitHub/open-codelabs/backend/bench-results/paper-all-20260219-193826/rest/u200-r10-20260219-193839.json,200,12000,6000,450,220
