timestamp_utc,scenario,repeat,status,exit_code,output_file,attendees,read_requests,write_requests,read_concurrency,write_concurrency
2026-02-18T14:28:26Z,u10,1,FAIL,1,/Users/jaichang/Documents/GitHub/open-codelabs/backend/bench-results/all-20260218-232826/rest/u10-r01.json,10,300,150,20,10
2026-02-18T14:30:01Z,u30,1,FAIL,1,/Users/jaichang/Documents/GitHub/open-codelabs/backend/bench-results/all-20260218-232826/rest/u30-r01.json,30,600,300,40,20
2026-02-18T14:30:02Z,u50,1,FAIL,1,/Users/jaichang/Documents/GitHub/open-codelabs/backend/bench-results/all-20260218-232826/rest/u50-r01.json,50,1000,500,60,30
