suite,scenario,metric,n,mean,median,q1,q3,iqr,ci95_low,ci95_high,baseline_n,mann_whitney_u,p_value,cliffs_delta,effect_size
frontend,/admin|c4,error_rate,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
frontend,/admin|c4,latency_p50_ms,1,102.05660400242778,102.05660400242778,102.05660400242778,102.05660400242778,0.0,102.05660400242778,102.05660400242778,,,,,
frontend,/admin|c4,latency_p95_ms,1,105.10112864685652,105.10112864685652,105.10112864685652,105.10112864685652,0.0,105.10112864685652,105.10112864685652,,,,,
frontend,/admin|c4,latency_p99_ms,1,105.48303421070159,105.48303421070159,105.48303421070159,105.48303421070159,0.0,105.48303421070159,105.48303421070159,,,,,
frontend,/admin|c4,rps,1,39.116731171163785,39.116731171163785,39.116731171163785,39.116731171163785,0.0,39.116731171163785,39.116731171163785,,,,,
frontend,/|c4,error_rate,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
frontend,/|c4,latency_p50_ms,1,100.51587500493042,100.51587500493042,100.51587500493042,100.51587500493042,0.0,100.51587500493042,100.51587500493042,,,,,
frontend,/|c4,latency_p95_ms,1,104.0933998505352,104.0933998505352,104.0933998505352,104.0933998505352,0.0,104.0933998505352,104.0933998505352,,,,,
frontend,/|c4,latency_p99_ms,1,104.88536410877714,104.88536410877714,104.88536410877714,104.88536410877714,0.0,104.88536410877714,104.88536410877714,,,,,
frontend,/|c4,rps,1,39.58748959608966,39.58748959608966,39.58748959608966,39.58748959608966,0.0,39.58748959608966,39.58748959608966,,,,,
ops.backup,small,backup_size_mb,1,82.4161262512207,82.4161262512207,82.4161262512207,82.4161262512207,0.0,82.4161262512207,82.4161262512207,,,,,
ops.backup,small,export_ms,1,214.77875,214.77875,214.77875,214.77875,0.0,214.77875,214.77875,,,,,
ops.backup,small,inspect_ms,1,430.573083,430.573083,430.573083,430.573083,0.0,430.573083,430.573083,,,,,
ops.backup,small,restore_ms,1,697.1184999999999,697.1184999999999,697.1184999999999,697.1184999999999,0.0,697.1184999999999,697.1184999999999,,,,,
ops.backup,tiny,backup_size_mb,1,82.3328332901001,82.3328332901001,82.3328332901001,82.3328332901001,0.0,82.3328332901001,82.3328332901001,,,,,
ops.backup,tiny,export_ms,1,177.105542,177.105542,177.105542,177.105542,0.0,177.105542,177.105542,,,,,
ops.backup,tiny,inspect_ms,1,443.369417,443.369417,443.369417,443.369417,0.0,443.369417,443.369417,,,,,
ops.backup,tiny,restore_ms,1,692.5337499999999,692.5337499999999,692.5337499999999,692.5337499999999,0.0,692.5337499999999,692.5337499999999,,,,,
ops.codeserver,codeserver,create_branch_ms_p95,1,64.961917,64.961917,64.961917,64.961917,0.0,64.961917,64.961917,,,,,
ops.codeserver,codeserver,create_codeserver_ms,1,61.001833,61.001833,61.001833,61.001833,0.0,61.001833,61.001833,,,,,
ops.codeserver,codeserver,create_folder_ms_p95,1,1.791875,1.791875,1.791875,1.791875,0.0,1.791875,1.791875,,,,,
ops.codeserver,codeserver,download_size_mb,1,0.01953125,0.01953125,0.01953125,0.01953125,0.0,0.01953125,0.01953125,,,,,
ops.codeserver,codeserver,download_workspace_ms,1,32.908333,32.908333,32.908333,32.908333,0.0,32.908333,32.908333,,,,,
ops.codeserver,codeserver,update_branch_ms_p95,1,94.687667,94.687667,94.687667,94.687667,0.0,94.687667,94.687667,,,,,
ops.codeserver,codeserver,update_folder_ms_p95,1,1.6465830000000001,1.6465830000000001,1.6465830000000001,1.6465830000000001,0.0,1.6465830000000001,1.6465830000000001,,,,,
ops.upload,img_1mb|c2,latency_p50_ms,1,136.5706875,136.5706875,136.5706875,136.5706875,0.0,136.5706875,136.5706875,,,,,
ops.upload,img_1mb|c2,latency_p95_ms,1,147.14305225,147.14305225,147.14305225,147.14305225,0.0,147.14305225,147.14305225,,,,,
ops.upload,img_1mb|c2,latency_p99_ms,1,147.32941045,147.32941045,147.32941045,147.32941045,0.0,147.32941045,147.32941045,,,,,
ops.upload,img_1mb|c2,success_rate,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,
ops.upload,img_1mb|c4,latency_p50_ms,1,139.03254149999998,139.03254149999998,139.03254149999998,139.03254149999998,0.0,139.03254149999998,139.03254149999998,,,,,
ops.upload,img_1mb|c4,latency_p95_ms,1,146.3423189,146.3423189,146.3423189,146.3423189,0.0,146.3423189,146.3423189,,,,,
ops.upload,img_1mb|c4,latency_p99_ms,1,147.62559738,147.62559738,147.62559738,147.62559738,0.0,147.62559738,147.62559738,,,,,
ops.upload,img_1mb|c4,success_rate,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,
ops.upload,img_3mb|c2,latency_p50_ms,1,292.69127100000003,292.69127100000003,292.69127100000003,292.69127100000003,0.0,292.69127100000003,292.69127100000003,,,,,
ops.upload,img_3mb|c2,latency_p95_ms,1,294.56094775,294.56094775,294.56094775,294.56094775,0.0,294.56094775,294.56094775,,,,,
ops.upload,img_3mb|c2,latency_p99_ms,1,294.87665595000004,294.87665595000004,294.87665595000004,294.87665595000004,0.0,294.87665595000004,294.87665595000004,,,,,
ops.upload,img_3mb|c2,success_rate,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,
ops.upload,img_3mb|c4,latency_p50_ms,1,368.94691650000004,368.94691650000004,368.94691650000004,368.94691650000004,0.0,368.94691650000004,368.94691650000004,,,,,
ops.upload,img_3mb|c4,latency_p95_ms,1,445.59706645,445.59706645,445.59706645,445.59706645,0.0,445.59706645,445.59706645,,,,,
