timestamp_utc,scenario,repeat,status,exit_code,output_file,attendees,read_requests,write_requests,read_concurrency,write_concurrency
2026-02-19T10:31:37Z,u5,1,DRY_RUN,0,/Users/jaichang/Documents/GitHub/open-codelabs/backend/bench-results/matrix-timestamp-check/u5-r01-20260219-193137.json,5,80,40,8,4
2026-02-19T10:31:37Z,u10,1,DRY_RUN,0,/Users/jaichang/Documents/GitHub/open-codelabs/backend/bench-results/matrix-timestamp-check/u10-r01-20260219-193137.json,10,120,60,12,6
2026-02-19T10:31:37Z,u20,1,DRY_RUN,0,/Users/jaichang/Documents/GitHub/open-codelabs/backend/bench-results/matrix-timestamp-check/u20-r01-20260219-193137.json,20,200,100,20,10
